Session,Session met expectations,Speaker Knowledgeable on topic,Presentation skills,Facility appropriate
1,4,5,5,5
1,4,5,5,5
1,5,5,5,5
1,4,5,5,5
1,3,3,3,3
1,5,5,5,5
1,4,5,5,4
1,5,5,5,5
1,5,5,5,5
1,3,5,5,5
1,5,5,5,5
1,5,5,5,5
1,5,5,5,5
2,5,4,4,5
2,3,5,4,5
2,4,4,4,4
2,5,5,5,5
2,5,4,4,5
2,3,3,3,3
2,5,5,5,5
2,3,3,3,3
2,5,4,5,4
2,3,3,3,3
2,5,5,4,5
2,5,5,5,5
2,4,4,4,4
2,5,5,5,5
2,4,4,4,4
2,5,5,5,5
2,5,5,5,5
2,4,4,4,4
2,5,5,5,5
2,5,5,5,5
2,3,4,3,5
2,5,5,4,5
2,5,5,5,5
2,5,5,5,5
2,1,1,2,1
2,5,5,5,5
2,5,5,5,5
3,4,5,5,4
3,5,4,4,4
3,5,5,5,5
3,4,5,5,4
3,4,5,4,4
3,4,4,4,4
3,5,5,5,5
3,5,5,5,5
3,4,4,4,4
3,4,5,5,4
3,5,5,5,5
3,5,5,5,5
3,5,5,5,5
3,2,3,3,5
3,5,5,5,5
3,5,5,5,4
3,5,5,5,5
3,5,5,5,5
3,5,5,5,5
3,5,4,5,5
3,4,4,4,4
3,5,5,5,5
3,4,4,3,4
3,5,5,5,5
3,5,5,5,5
3,2,4,4,4
3,4,5,4,4
3,5,5,5,5
4,3,4,3,5
4,5,5,3,4
4,4,5,5,5
4,3,3,3,4
4,5,5,5,5
4,4,4,0,5
4,4,4,4,4
4,4,4,4,4
4,5,5,4,5
4,3,3,3,3
4,4,4,4,4
4,4,4,4,5
4,4,4,4,3
4,5,5,5,5
4,5,5,5,5
4,5,5,5,5
4,5,5,4,5
4,4,4,5,5
4,5,5,5,5
4,5,5,5,5
4,5,5,5,5
4,4,4,3,5
4,4,5,5,5
4,3,4,3,5
4,4,4,4,5
5,5,5,5,5
5,3,4,3,
5,5,5,4,4
6,5,5,5,4
6,4,4,5,5
6,5,5,5,5
6,4,5,5,4
6,4,5,4,3
6,4,5,5,5
6,5,5,5,5
6,5,5,5,5
6,5,5,5,5
6,5,5,4,5
6,4,4,5,4
6,5,5,5,5
6,5,5,5,5
6,4,4,4,4
6,5,5,4,4
6,5,5,5,5
6,5,5,5,5
6,5,5,5,4
6,5,5,5,4
6,5,5,4,5
7,5,5,5,5
7,5,5,5,5
7,5,4,5,4
7,5,4,3,4
7,4,4,4,4
7,4,4,4,4
7,5,5,5,5
7,4,5,4,5
7,5,5,4,5
7,0,3,3,3
7,5,5,5,5
7,4,4,4,4
7,5,5,5,5
7,5,5,5,5
7,5,5,5,5
7,5,5,5,5
7,2,2,2,3
7,5,5,5,5
7,4,5,4,3
7,3,5,4,5
7,5,5,5,5
7,5,5,5,5
7,4,4,4,4
7,3,5,5,5
7,5,5,5,5
7,5,5,5,5
7,5,5,5,5
7,5,5,5,5
7,5,5,5,5
7,4,5,5,4
7,5,5,5,5
7,5,5,5,5
8,3,3,3,3
8,5,5,5,5
8,4,4,4,4
8,5,5,5,5
8,4,4,4,4
8,5,5,0,4
8,5,5,5,5
8,5,5,5,5
8,5,5,5,5
8,4,4,4,4
8,5,5,4,5
8,5,5,5,5
8,5,5,5,5
8,4,4,4,4
8,4,5,5,4
8,5,5,5,5
8,5,5,5,2
8,3,4,3,4
8,3,5,4,4
8,5,5,5,5
8,4,5,3,4
8,5,5,4,4
8,5,5,5,5
8,4,5,4,4
8,4,5,4,5
8,5,5,5,5
8,4,5,4,5
8,3,3,3,3
8,4,5,4,4
8,5,5,5,5
8,3,4,3,5
8,4,4,4,5
8,5,5,5,5
8,5,5,5,5
8,5,5,5,5
8,5,5,5,5
8,4,4,4,3
8,5,5,5,5
9,4,5,4,5
9,4,5,4,4
9,5,5,4,5
9,5,5,5,5
9,4,4,3,3
9,5,5,5,5
9,4,5,3,3
9,5,5,4,5
9,4,4,4,4
9,3,5,4,5
9,5,5,4,5
9,5,5,5,5
9,4,5,3,5
9,4,4,3,4
9,4,4,4,4
9,5,5,4,5
9,5,5,4,3
10,0,5,5,5
10,4,4,4,4
10,5,5,5,5
10,4,4,4,4
10,5,5,4,4
10,4,4,4,3
10,5,5,5,5
10,5,5,5,5
10,5,5,5,4
10,5,5,5,5
10,5,5,5,5
10,4,4,4,4
